name,performance_clockspeed,performance_turbospeed,performance_cores,performance_threads,efficient_clockspeed,efficient_turbospeed,efficient_cores,efficient_threads,tdp,multithread_rating,single_thread_rating,l1_instruction_cache,l1_data_cache,l2_cache,l3_cache,eff_l1_instruction_cache,eff_l1_data_cache,eff_l2_cache,integer_math,floating_point_math,find_prime_numbers,random_string_sorting,data_encryption,data_compression,physics,extended_instructions,single_thread
intel core i3 1315ue,1.20,4.50,2.0,4.0,,3.30,4.0,4.0,15.00,9696,3269,,,,,,,,34537.0,20958.0,51.0,10759.0,6321.0,103162.0,824.0,5172.0,3269
intel core i3 n300,,3.80,8.0,8.0,,,,,7.00,8750,2122,8 x 64 kb,8 x 32 kb,2 x 2048 kb,6 mb,,,,29169.0,19343.0,22.0,12797.0,7034.0,100731.0,516.0,5174.0,2122
intel core i3 1305u,1.60,4.50,1.0,2.0,1.20,3.30,4.0,4.0,15.00,8802,3276,1 x 32 kb,1 x 48 kb,1 x 1280 kb,10 mb,4 x 64 kb,4 x 32 kb,1 x 2048 kb,27950.0,20052.0,36.0,10623.0,6021.0,95060.0,518.0,5262.0,3276
amd ryzen 3 7320u,2.40,4.10,4.0,8.0,,,,,15.00,8839,2378,4 x 32 kb,4 x 32 kb,4 x 512 kb,4 mb,,,,29638.0,14121.0,20.0,13922.0,6266.0,131689.0,437.0,5905.0,2378
intel core i5 1038ng7,2.00,3.80,4.0,8.0,,,,,28.00,8839,2152,4 x 32 kb,4 x 48 kb,4 x 512 kb,6 mb,,,,27545.0,15238.0,28.0,11471.0,5714.0,109286.0,698.0,6539.0,2152
amd ryzen 3 5300u,2.60,3.80,4.0,8.0,,,,,15.00,9699,2352,4 x 32 kb,4 x 32 kb,4 x 512 kb,4 mb,,,,30127.0,17873.0,19.0,14154.0,8045.0,133285.0,426.0,8518.0,2352
intel core i5 1135g7,2.40,4.20,4.0,8.0,,,,,15.00,9726,2674,4 x 32 kb,4 x 48 kb,4 x 1280 kb,8 mb,,,,32443.0,19591.0,35.0,12793.0,5611.0,105815.0,594.0,7605.0,2674
intel core i7 13800hre,2.50,5.00,6.0,12.0,,,8.0,8.0,45.00,9781,1437,6 x 32 kb,6 x 48 kb,6 x 1280 kb,24 mb,8 x 64 kb,8 x 32 kb,2 x 2048 kb,24773.0,23067.0,85.0,13880.0,5738.0,93625.0,662.0,9890.0,1437
intel core i5 1145g7,2.60,4.40,4.0,8.0,,,,,28.00,9793,2745,4 x 32 kb,4 x 48 kb,4 x 1280 kb,8 mb,,,,33268.0,19784.0,36.0,12768.0,5587.0,106054.0,622.0,7513.0,2745
intel core i5 9500te,2.20,3.60,6.0,6.0,,,,,35.00,9861,2370,4 x 32 kb,4 x 32 kb,4 x 256 kb,9 mb,,,,25281.0,21873.0,48.0,17667.0,3240.0,134322.0,861.0,9396.0,2370
intel core i7 8750h,2.20,4.10,6.0,12.0,,,,,45.00,9883,2293,6 x 32 kb,6 x 32 kb,6 x 256 kb,9 mb,,,,35868.0,22370.0,27.0,18812.0,3429.0,141335.0,603.0,8680.0,2293
apple a15 bionic,3.20,,4.0,4.0,2.00,,2.0,2.0,,9904,3597,,,,,,,,26817.0,20879.0,89.0,14669.0,6243.0,106557.0,1196.0,4482.0,3597
amd ryzen 3 pro 4450u,2.50,3.70,4.0,8.0,,,,,15.00,9930,2349,4 x 32 kb,4 x 32 kb,4 x 512 kb,4 mb,,,,29371.0,17457.0,21.0,14443.0,8279.0,132670.0,491.0,8449.0,2349
