name,avg_g3d_mark,bus_interface,max_memory_size,core_clock,max_direct,open_gl,max_tdp,test_directx_9,test_directx_10,test_directx_11,test_directx_12,test_gpu_compute
radeon rx 6600m,13814,pcie 4.0 x8,8192.0,2068.0,12_2,4.6,100.0,180.0,89.0,135.0,52.0,5752.0
radeont rx 6850m xt,13848,pcie 4.0 x16,12288.0,2321.0,12_2,4.6,165.0,144.0,106.0,166.0,59.0,5210.0
rtx 1000 ada generation,14043,,,,,,,179.0,74.0,115.0,65.0,5471.0
rtx a3000 12gb,14088,,,,,,,169.0,88.0,115.0,65.0,5593.0
geforce rtx 4050,14433,pcie 4.0 x16,6144.0,1605.0,12_2,4.6,115.0,186.0,81.0,131.0,61.0,5943.0
radeon igp 34xm,2,,,,,,,,,,,
radeon igp 340m,3,,,,,,,,,,,
radeon igp 345m,3,,,,,,,,,,,
mobility radeon 9200,3,agp 8x,64.0,,8.1,1.4,,,,,,
mobility radeon 9000,3,agp 4x,64.0,250.0,8.1,1.4,,,,,,
geforce4 420 go,3,agp 8x,32.0,200.0,7,1.2,,,,,,
radeon igp 320m,4,,,,,,,,,,,
mobility radeon 7500,4,agp 4x,64.0,280.0,7,1.3,,,,,,
geforce4 440 go,4,agp 8x,64.0,220.0,7,1.2,,,,,,
geforce4 4200 go,4,agp 8x,64.0,200.0,8.1,1.3,,,,,,
geforce2 go,4,agp 4x,32.0,143.0,7,1.2,,,,,,
radeon igp 350m,6,,,,,,,,,,,
geforce fx go 5200,8,agp x8,32.0,300.0,9,1.5,,,,,,
geforce 7000m / nforce 610m,13,,,,,,,,,,,
geforce 7000m,13,hyper transport,256.0,350.0,9.0c,2.1,,,,,,
geforce go 6200,15,pci-e x16,16.0,300.0,9.0c,2.1,,,,,,
geforce fx go 5600,18,agp x8,32.0,350.0,9,1.5,,,,,,
geforce 7150m / nforce 630m,18,,,,,,,,,,,
radeon xpress 200m,23,,,,,,,,,,,
geforce go 6400,24,pci-e x16,16.0,400.0,9.0c,2.1,,,,,,
mobility radeon 9700,27,agp 8x,128.0,450.0,9,2.0,,,,,,
mobility radeon 9550,30,agp 8x,64.0,210.0,9,2.0,,,,,,
mobility radeon x1450,33,pcie x16,128.0,550.0,9.0c,2.0,,,,,,
mobility radeon x300,34,pci-e x16,128.0,350.0,9.0b,2.0,,,,,,
mobility radeon 9600,36,agp 8x,128.0,300.0,9,2.0,,,,,,
mobility radeon 9600/9700,39,agp 8x,128.0,300.0,9,2.0,,,,,,
mobility radeon x1300,40,pcie x16,128.0,350.0,9.0c,2.0,,,,,,
mobility radeon x1350,40,pcie x16,128.0,470.0,9.0c,2.0,,,,,,
radeon xpress 1300m,40,,,,,,,,,,,
mobility radeon x1400,43,pcie x16,128.0,445.0,9.0c,2.0,,,,,,
geforce go 7200,45,pcie x16,64.0,450.0,9.0c,2.1,,,,,,
mobility radeon 9800,46,agp 8x,256.0,350.0,9,2.0,,,,,,
mobility radeon x2300,48,pcie x16,128.0,480.0,9.0c,2.0,,,,,,
mobility radeon x600,50,pci-e x16,128.0,400.0,9.0b,2.0,,,,,,
mobility radeon hd 2300,51,pcie x16,512.0,480.0,9.0c,2.0,,,,,,
geforce go 7300,52,pcie x16,512.0,350.0,9.0c,2.1,,1.0,0.0,0.0,0.0,0.0
geforce 8200m g,58,integrated (pcie 2.0 x16),256.0,400.0,10,3.3,,1.0,1.0,0.0,0.0,0.0
geforce 8400m g,59,pcie x16,128.0,400.0,10,3.3,10.0,,,,,
geforce g 103m,63,pcie 2.0 x16,512.0,640.0,10,3.3,14.0,2.0,0.0,0.0,0.0,0.0
mobility radeon hd 3410,63,pcie x16 1.1,512.0,400.0,10.1,2.0,,,,,,
geforce g 105m,63,pcie 2.0 x16,512.0,640.0,10,3.3,14.0,2.0,0.0,0.0,0.0,0.0
geforce go 7400,66,pcie x16,256.0,450.0,9.0c,2.1,,2.0,0.0,0.0,0.0,0.0
mobility radeon hd 4225,66,internal pcie x16 1.1,512.0,380.0,10.1,2.0,,,,,,
geforce 8400m gt,67,pcie x16,256.0,450.0,10,3.3,14.0,2.0,1.0,0.0,0.0,0.0
mobility radeon x700,67,pci-e x16,128.0,350.0,9.0b,2.0,,,,,,
geforce 9400m g,68,integrated(pcie 2.0 x16),256.0,450.0,10,3.3,12.0,3.0,0.0,0.0,0.0,0.0
geforce 9100m g,68,,,,,,,2.0,1.0,0.0,0.0,0.0
geforce go 6600,69,pci-e x16,128.0,300.0,9.0c,2.1,,,,,,
geforce 8600m gs,70,pcie x16,256.0,600.0,10,3.3,20.0,4.0,0.0,0.0,0.0,0.0
mobility radeon x2500,82,pcie x16,256.0,460.0,9.0c,2.0,,,,,,
geforce 9300m g,85,pcie 2.0 x16,256.0,400.0,10,3.3,13.0,,,,,
mobility radeon hd 2400,90,pcie x16,256.0,450.0,10,2.0,,,,,,
mobility radeon hd 4200,91,internal pcie x16 1.1,512.0,500.0,10.1,2.0,,,,,,
mobility radeon hd 3450,91,pcie x16 2.0,256.0,500.0,10.1,2.0,,,,,,
geforce g205m,92,,,,,,,,,,,
mobility radeon x1600,92,pcie x16,256.0,450.0,9.0c,2.0,,,,,,
mobility radeon hd 4270,93,internal pcie x16 1.1,512.0,590.0,10.1,2.0,,,,,,
mobility radeon hd 3470,93,pcie x16 2.0,256.0,680.0,10.1,2.0,,,,,,
radeon hd 6250,94,unb/mc,,400.0,11,4.4,35.0,3.0,0.0,1.0,0.0,44.0
mobility radeon hd 3430,98,pcie x16 2.0,256.0,450.0,10.1,2.0,,,,,,
mobility radeon hd 4250,98,internal pcie x16 1.1,512.0,500.0,10.1,2.0,,,,,,
geforce 9300m gs,100,pcie 2.0 x16,256.0,550.0,10,3.3,13.0,2.0,2.0,0.0,0.0,0.0
geforce 9400m,101,,,,,,,3.0,2.0,0.0,0.0,0.0
mobility radeon hd 2400 xt,102,pcie x16,256.0,,10,2.0,,,,,,
geforce 9500m,104,,,,,,,,,,,
radeon hd 6290,105,unb/mc,,400.0,11,4.4,45.0,3.0,0.0,1.0,0.0,55.0
mobility radeon x1700,105,pcie x16,256.0,475.0,9.0c,2.0,,,,,,
geforce gt 320m,106,pcie 2.0 x16,1024.0,500.0,10.1,3.3,14.0,5.0,0.0,0.0,0.0,0.0
geforce9400m,106,,,,,,,,,,,
geforce go 6800,106,pci-e x16,128.0,300.0,9.0c,2.1,,,,,,
geforce 8400m gs,109,pcie x16,128.0,400.0,10,3.3,11.0,1.0,4.0,0.0,0.0,0.0
geforce 8600m gt,113,pcie x16,256.0,475.0,10,3.3,20.0,5.0,0.0,0.0,0.0,0.0
geforce go 7800,115,pcie x16,256.0,400.0,9.0c,2.1,35.0,,,,,
geforce 315m,115,pcie 2.0 x16,512.0,606.0,10.1,3.3,14.0,5.0,0.0,0.0,0.0,0.0
geforce 310m,116,pcie 2.0 x16,512.0,625.0,10.1,3.3,14.0,5.0,0.0,0.0,0.0,0.0
geforce g210m,117,pcie 2.0 x16,512.0,625.0,10.1,3.3,14.0,5.0,0.0,0.0,0.0,0.0
geforce 9500m g,122,pcie 2.0 x16,512.0,500.0,10,3.3,20.0,6.0,0.0,0.0,0.0,0.0
geforce 9200m gs,122,pcie 2.0 x16,256.0,550.0,10,3.3,13.0,2.0,3.0,0.0,0.0,0.0
geforce gt 220m,122,pcie 2.0 x16,1024.0,500.0,10,3.3,14.0,6.0,0.0,0.0,0.0,0.0
radeon hd 6310,122,unb/mc,,492.0,11,4.4,45.0,4.0,0.0,1.0,0.0,69.0
radeon hd 7290m,123,,,,,,,,,,,
geforce 8700m gt,124,pcie x16,256.0,625.0,10,3.3,29.0,7.0,0.0,0.0,0.0,0.0
geforce go 7600,128,pcie x16,512.0,450.0,9.0c,2.1,,,,,,
mobility radeon x1800,130,pcie x16,256.0,450.0,9.0c,2.0,,,,,,
geforce 9600m gs,131,pcie 2.0 x16,1024.0,430.0,10,3.3,20.0,7.0,1.0,0.0,0.0,0.0
geforce 9500m gs,134,pcie x16,512.0,475.0,10,3.3,20.0,5.0,1.0,0.0,0.0,0.0
geforce g105m,134,,,,,,,5.0,1.0,0.0,0.0,0.0
mobility radeon x1900,135,pcie x16,256.0,400.0,9.0c,2.0,,,,,,
mobility radeon hd 4330,135,pcie x16 2.0,512.0,450.0,10.1,3.3,,,,,,
geforce 9650m gt,137,pcie 2.0 x16,1024.0,550.0,10,3.3,23.0,7.0,0.0,0.0,0.0,0.0
geforce go 6800 ultra,138,pci-e x16,256.0,450.0,9.0c,2.1,,,,,,
geforce 9600m gt,140,pcie 2.0 x16,512.0,500.0,10,3.3,23.0,8.0,1.0,0.0,0.0,0.0
