id,source,brand,name,cpu,vga,ram_amount,ram_type,storage_amount,storage_type,webcam_resolution,screen_size,screen_resolution,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,default_os,warranty,price,width,depth,height,number_usb_a_ports,number_usb_c_ports,number_hdmi_ports,number_ethernet_ports,number_audio_jacks
1,gearvn,msi,laptop msi modern 15 h c13m 216vn,intel core i7 13700h,,16.0,ddr4,1024.0,ssd,yes,15.6,1920x1080,60.0,,39.3,,1.6,windows 11 home,24.0,18990000,31.37,23.6,1.86,3.0,1.0,1.0,0.0,1.0
2,gearvn,lenovo,laptop lenovo ideapad slim 3 14irh10 83k0000bvn,intel core i5 13420h,,8.0,ddr5,512.0,ssd,yes,14.0,1920x1200,,400.0,60.0,,1.33,windows 11 home,24.0,17290000,31.44,22.21,1.79,2.0,1.0,1.0,0.0,1.0
3,gearvn,asus,laptop asus expertbook p1403cva-i516-50w,intel core i5 13420h,,16.0,ddr5,512.0,ssd,yes,,1920x1080,60.0,,50.0,3.0,1.41,windows 11 home,24.0,14290000,32.45,21.44,1.97,2.0,2.0,1.0,1.0,1.0
4,gearvn,acer,laptop acer swift lite 14 sfl14 51m 56hs,intel core ultra 5 125u,,16.0,ddr5,512.0,ssd,yes,,,,,58.0,3.0,1.27,windows 11 home,12.0,16990000,31.44,22.19,1.75,,,,,
5,gearvn,acer,laptop acer swift go 14 sfg14 73 57fz,intel core ultra 5 125h,,16.0,ddr5,512.0,ssd,yes,14.0,2880x1800,90.0,400.0,65.0,4.0,1.32,windows 11 home,24.0,22990000,31.29,21.79,1.49,2.0,2.0,1.0,0.0,1.0
6,gearvn,acer,laptop gaming acer nitro v 15 anv15 41 r1jy,amd ryzen 5 6600h,geforce rtx 3050,16.0,ddr5,512.0,ssd,yes,15.6,1920x1080,165.0,300.0,57.0,4.0,2.1,windows 11 home,24.0,20990000,36.23,23.99,2.35,0.0,0.0,1.0,1.0,1.0
7,gearvn,acer,laptop gaming acer aspire 7 a715 59g 78wg,intel core i7 13620h,geforce rtx 3050,16.0,ddr4,512.0,ssd,yes,15.6,1920x1080,144.0,,54.8,3.0,1.99,windows 11 home,24.0,21990000,35.95,23.8,2.27,2.0,2.0,1.0,1.0,1.0
8,gearvn,acer,laptop gaming acer aspire 7 a715 59g 55md,intel core i5 13420h,geforce rtx 3050,16.0,ddr4,512.0,ssd,yes,15.6,1920x1080,144.0,,54.8,3.0,1.99,windows 11 home,24.0,19990000,35.95,23.8,2.27,2.0,2.0,1.0,1.0,1.0
9,gearvn,acer,laptop acer swift go 14 ai sfg14 75 5264,intel core ultra 5 226v,,16.0,ddr5,512.0,ssd,yes,14.0,1920x1200,60.0,400.0,65.0,4.0,1.24,windows 11 home,24.0,21990000,31.24,22.74,1.59,2.0,2.0,1.0,0.0,0.0
10,gearvn,acer,laptop acer aspire go 15 ag15 71p 58x1,intel core i5 13420h,,16.0,ddr5,512.0,ssd,yes,15.6,1920x1080,60.0,300.0,58.0,3.0,1.8,windows 11 home,24.0,14490000,36.29,23.75,1.99,2.0,2.0,1.0,0.0,1.0
11,gearvn,acer,laptop acer aspire 16 ai a16 71m 71u7,intel core ultra 7 155h,,16.0,ddr5,512.0,ssd,yes,16.0,1920x1200,60.0,350.0,53.0,,1.64,windows 11 home,24.0,18990000,35.97,25.32,1.79,2.0,2.0,1.0,0.0,1.0
12,gearvn,acer,laptop acer aspire 16 ai a16 71m 59l5,intel core ultra 5 125h,,16.0,ddr5,512.0,ssd,yes,16.0,1920x1200,60.0,350.0,53.0,,1.64,windows 11 home,24.0,16990000,35.97,25.32,1.79,2.0,2.0,1.0,0.0,1.0
13,gearvn,lenovo,laptop lenovo yoga slim 7 14imh9 83cv00dkvn,intel core ultra 7 155h,,32.0,ddr5,1024.0,ssd,yes,14.0,1920x1200,60.0,400.0,71.0,4.0,1.39,windows 11 home,36.0,27990000,31.2,22.1,1.49,1.0,2.0,1.0,0.0,1.0
14,gearvn,lenovo,laptop lenovo yoga slim 7 14imh9 83cv00d8vn,intel core ultra 5 125h,,16.0,ddr5,1024.0,ssd,yes,14.0,1920x1200,60.0,400.0,71.0,4.0,1.39,windows 11 home,36.0,24490000,31.2,22.1,1.49,1.0,2.0,1.0,0.0,1.0
15,gearvn,msi,laptop gaming msi cyborg 15 ai a1vek 245vn,intel core ultra 5 135h,geforce rtx 4050,16.0,ddr5,512.0,ssd,yes,15.6,1920x1080,144.0,,53.5,3.0,1.98,windows 11 home,24.0,23990000,35.94,25.03,2.29,2.0,1.0,1.0,0.0,1.0
16,gearvn,msi,laptop gaming msi cyborg 15 a13uc 2088vn,intel core i5 13420h,geforce rtx 3050,16.0,ddr5,512.0,ssd,yes,15.6,1920x1080,144.0,,53.5,3.0,1.98,windows 11 home,24.0,19990000,35.94,25.03,2.29,2.0,1.0,1.0,0.0,1.0
17,gearvn,acer,laptop gaming acer nitro v 15 anv15 41 r2up,amd ryzen 5 6600h,geforce rtx 2050,16.0,ddr5,512.0,ssd,yes,15.6,1920x1080,165.0,300.0,57.0,4.0,2.1,windows 11 home,24.0,16090000,36.23,23.99,2.35,0.0,0.0,1.0,1.0,1.0
18,gearvn,msi,laptop gaming msi  cyborg 15 a13uc 2082vn,intel core i7 13620h,geforce rtx 3050,16.0,ddr5,512.0,ssd,yes,15.6,1920x1080,144.0,,53.5,3.0,1.98,windows 11 home,24.0,19990000,35.94,25.03,2.29,2.0,1.0,1.0,0.0,0.0
19,gearvn,gigabyte,laptop gaming gigabyte a16 cmhi2vn893sh,intel core i7 13620h,geforce rtx 4050,16.0,ddr5,512.0,ssd,yes,16.0,1920x1200,165.0,300.0,76.0,,2.2,windows 11 home,24.0,24490000,35.83,26.25,2.3,3.0,1.0,1.0,1.0,1.0
20,gearvn,lenovo,laptop gaming lenovo loq 15arp9 83jc00m3vn,amd ryzen 5 7235hs,geforce rtx 3050,16.0,ddr5,1024.0,ssd,yes,15.6,1920x1080,144.0,300.0,60.0,4.0,2.38,windows 11 home,24.0,22290000,35.99,25.87,2.39,3.0,1.0,1.0,1.0,1.0
21,gearvn,lg,laptop lg gram book 15u50t-g.av56a5,intel core i5 1334u,,16.0,ddr4,512.0,ssd,yes,15.6,1920x1080,60.0,300.0,51.0,,1.7,windows 11 home,12.0,13990000,35.98,23.78,1.94,1.0,0.0,1.0,0.0,0.0
22,gearvn,lenovo,laptop gaming lenovo loq 15arp9 83jc00lvvn,amd ryzen 5 7235hs,geforce rtx 3050,16.0,ddr5,512.0,ssd,yes,15.6,1920x1080,144.0,300.0,60.0,4.0,2.38,windows 11 home,24.0,20990000,35.99,25.87,2.39,3.0,1.0,1.0,1.0,1.0
23,gearvn,msi,laptop msi modern 14 f13mg 466vn,intel core i5 1334u,,16.0,ddr4,512.0,ssd,yes,14.0,1920x1080,60.0,250.0,46.8,3.0,1.6,windows 11 home,24.0,13490000,31.37,23.6,1.86,3.0,1.0,1.0,0.0,1.0
24,gearvn,dell,laptop dell inspiron 5440-pus i5-1334u/512gb/16gb ddr5/14 fhd/w11/carbon black nhập khẩu,intel core i5 1334u,,16.0,ddr5,512.0,ssd,yes,14.0,1920x1200,,250.0,41.0,3.0,1.54,windows 11 home,,16990000,31.4,22.62,1.89,0.0,0.0,1.0,0.0,1.0
25,gearvn,asus,laptop asus expertbook p1403cva-i716-50w,intel core i7 13620h,,16.0,ddr5,512.0,ssd,yes,,1920x1080,60.0,,50.0,3.0,1.41,windows 11 home,24.0,17290000,32.45,21.44,1.97,2.0,2.0,1.0,1.0,1.0
