CHECKING RESULT OF CPU:

--------------------------------------------------
Checking number of records in JSON file and database
Number of records in JSON file: 2406
Number of records in database: 2348

Number of records in JSON file and database do not match
--------------------------------------------------

--------------------------------------------------
Checking if all records in JSON file are in database
Checking record 1: Matched
Checking record 2: Unmatched
Checking record 3: Unmatched
Checking record 4: Matched
Checking record 5: Matched
Checking record 6: Matched
Checking record 7: Matched
Checking record 8: Matched
Checking record 9: Matched
Checking record 10: Matched
Checking record 11: Matched
Checking record 12: Matched
Checking record 13: Matched
Checking record 14: Matched
Checking record 15: Matched
Checking record 16: Matched
Checking record 17: Matched
Checking record 18: Matched
Checking record 19: Unmatched
Checking record 20: Matched
Checking record 21: Matched
Checking record 22: Matched
Checking record 23: Matched
Checking record 24: Matched
Checking record 25: Matched
Checking record 26: Matched
Checking record 27: Matched
Checking record 28: Matched
Checking record 29: Matched
Checking record 30: Matched
Checking record 31: Matched
Checking record 32: Matched
Checking record 33: Matched
Checking record 34: Matched
Checking record 35: Matched
Checking record 36: Matched
Checking record 37: Matched
Checking record 38: Matched
Checking record 39: Matched
Checking record 40: Matched
Checking record 41: Matched
Checking record 42: Matched
Checking record 43: Matched
Checking record 44: Matched
Checking record 45: Matched
Checking record 46: Matched
Checking record 47: Matched
Checking record 48: Matched
Checking record 49: Matched
Checking record 50: Matched
Checking record 51: Matched
Checking record 52: Matched
Checking record 53: Matched
Checking record 54: Matched
Checking record 55: Matched
Checking record 56: Matched
Checking record 57: Matched
Checking record 58: Matched
Checking record 59: Matched
Checking record 60: Unmatched
Checking record 61: Matched
Checking record 62: Matched
Checking record 63: Matched
Checking record 64: Matched
Checking record 65: Matched
Checking record 66: Matched
Checking record 67: Matched
Checking record 68: Matched
Checking record 69: Matched
Checking record 70: Matched
Checking record 71: Matched
Checking record 72: Matched
Checking record 73: Matched
Checking record 74: Matched
Checking record 75: Matched
Checking record 76: Matched
Checking record 77: Matched
Checking record 78: Matched
Checking record 79: Matched
Checking record 80: Matched
Checking record 81: Matched
Checking record 82: Matched
Checking record 83: Matched
Checking record 84: Matched
Checking record 85: Matched
Checking record 86: Matched
Checking record 87: Matched
Checking record 88: Matched
Checking record 89: Matched
Checking record 90: Matched
Checking record 91: Matched
Checking record 92: Matched
Checking record 93: Matched
Checking record 94: Matched
Checking record 95: Matched
Checking record 96: Matched
Checking record 97: Matched
Checking record 98: Matched
Checking record 99: Matched
Checking record 100: Matched
Checking record 101: Matched
Checking record 102: Matched
Checking record 103: Matched
Checking record 104: Matched
Checking record 105: Matched
Checking record 106: Matched
Checking record 107: Matched
Checking record 108: Matched
Checking record 109: Matched
Checking record 110: Matched
Checking record 111: Matched
Checking record 112: Matched
Checking record 113: Matched
Checking record 114: Matched
Checking record 115: Matched
Checking record 116: Matched
Checking record 117: Matched
Checking record 118: Matched
Checking record 119: Matched
Checking record 120: Matched
Checking record 121: Matched
Checking record 122: Matched
Checking record 123: Matched
Checking record 124: Matched
Checking record 125: Matched
Checking record 126: Matched
Checking record 127: Matched
Checking record 128: Matched
Checking record 129: Matched
Checking record 130: Matched
Checking record 131: Matched
Checking record 132: Matched
Checking record 133: Matched
Checking record 134: Matched
Checking record 135: Matched
