ram_type_ddr4,ram_type_ddr5,brand_acer,brand_asus,brand_hp,brand_msi,brand_lenovo,brand_dell,brand_lg,brand_gigabyte,brand_apple,brand_microsoft,ram_amount,storage_amount,screen_size,screen_refresh_rate,screen_brightness,battery_capacity,battery_cells,weight,width,depth,height,warranty,multithread_rating,no_gpu,avg_g3d_mark,screen_area,price
1,0,0,0,0,1,0,0,0,0,0,0,16.0,1024.0,15.6,60.0,333.93700787401576,39.3,3.4486133768352367,1.6,31.37,23.6,1.86,24.0,27032,1,2684.0,2073600,18990000
0,1,0,0,0,0,1,0,0,0,0,0,8.0,512.0,14.0,109.85918854415274,400.0,60.0,3.4486133768352367,1.33,31.44,22.21,1.79,24.0,18362,1,2684.0,2304000,17290000
0,1,0,1,0,0,0,0,0,0,0,0,16.0,512.0,14.9744819419775,60.0,333.93700787401576,50.0,3.0,1.41,32.45,21.44,1.97,24.0,18362,1,2684.0,2073600,14290000
0,1,1,0,0,0,0,0,0,0,0,0,16.0,512.0,14.9744819419775,109.85918854415274,333.93700787401576,58.0,3.0,1.27,31.44,22.19,1.75,12.0,17469,1,2684.0,0,16990000
0,1,1,0,0,0,0,0,0,0,0,0,16.0,512.0,14.0,90.0,400.0,65.0,4.0,1.32,31.29,21.79,1.49,24.0,22144,1,2684.0,5184000,22990000
0,1,1,0,0,0,0,0,0,0,0,0,16.0,512.0,15.6,165.0,300.0,57.0,4.0,2.1,36.23,23.99,2.35,24.0,18718,0,9454.0,2073600,20990000
1,0,1,0,0,0,0,0,0,0,0,0,16.0,512.0,15.6,144.0,333.93700787401576,54.8,3.0,1.99,35.95,23.8,2.27,24.0,24801,0,9454.0,2073600,21990000
1,0,1,0,0,0,0,0,0,0,0,0,16.0,512.0,15.6,144.0,333.93700787401576,54.8,3.0,1.99,35.95,23.8,2.27,24.0,18362,0,9454.0,2073600,19990000
0,1,1,0,0,0,0,0,0,0,0,0,16.0,512.0,14.0,60.0,400.0,65.0,4.0,1.24,31.24,22.74,1.59,24.0,19151,1,2684.0,2304000,21990000
0,1,1,0,0,0,0,0,0,0,0,0,16.0,512.0,15.6,60.0,300.0,58.0,3.0,1.8,36.29,23.75,1.99,24.0,18362,1,2684.0,2073600,14490000
0,1,1,0,0,0,0,0,0,0,0,0,16.0,512.0,16.0,60.0,350.0,53.0,3.4486133768352367,1.64,35.97,25.32,1.79,24.0,25166,1,2684.0,2304000,18990000
0,1,1,0,0,0,0,0,0,0,0,0,16.0,512.0,16.0,60.0,350.0,53.0,3.4486133768352367,1.64,35.97,25.32,1.79,24.0,22144,1,2684.0,2304000,16990000
0,1,0,0,0,0,1,0,0,0,0,0,32.0,1024.0,14.0,60.0,400.0,71.0,4.0,1.39,31.2,22.1,1.49,36.0,25166,1,2684.0,2304000,27990000
0,1,0,0,0,0,1,0,0,0,0,0,16.0,1024.0,14.0,60.0,400.0,71.0,4.0,1.39,31.2,22.1,1.49,36.0,22144,1,2684.0,2304000,24490000
0,1,0,0,0,1,0,0,0,0,0,0,16.0,512.0,15.6,144.0,333.93700787401576,53.5,3.0,1.98,35.94,25.03,2.29,24.0,22796,0,14433.0,2073600,23990000
0,1,0,0,0,1,0,0,0,0,0,0,16.0,512.0,15.6,144.0,333.93700787401576,53.5,3.0,1.98,35.94,25.03,2.29,24.0,18362,0,9454.0,2073600,19990000
0,1,1,0,0,0,0,0,0,0,0,0,16.0,512.0,15.6,165.0,300.0,57.0,4.0,2.1,36.23,23.99,2.35,24.0,18718,0,7690.0,2073600,16090000
0,1,0,0,0,1,0,0,0,0,0,0,16.0,512.0,15.6,144.0,333.93700787401576,53.5,3.0,1.98,35.94,25.03,2.29,24.0,24801,0,9454.0,2073600,19990000
0,1,0,0,0,0,0,0,0,1,0,0,16.0,512.0,16.0,165.0,300.0,76.0,3.4486133768352367,2.2,35.83,26.25,2.3,24.0,24801,0,14433.0,2304000,24490000
0,1,0,0,0,0,1,0,0,0,0,0,16.0,1024.0,15.6,144.0,300.0,60.0,4.0,2.38,35.99,25.87,2.39,24.0,11781,0,9454.0,2073600,22290000
1,0,0,0,0,0,0,0,1,0,0,0,16.0,512.0,15.6,60.0,300.0,51.0,3.4486133768352367,1.7,35.98,23.78,1.94,12.0,13409,1,2684.0,2073600,13990000
0,1,0,0,0,0,1,0,0,0,0,0,16.0,512.0,15.6,144.0,300.0,60.0,4.0,2.38,35.99,25.87,2.39,24.0,11781,0,9454.0,2073600,20990000
1,0,0,0,0,1,0,0,0,0,0,0,16.0,512.0,14.0,60.0,250.0,46.8,3.0,1.6,31.37,23.6,1.86,24.0,13409,1,2684.0,2073600,13490000
0,1,0,0,0,0,0,1,0,0,0,0,16.0,512.0,14.0,109.85918854415274,250.0,41.0,3.0,1.54,31.4,22.62,1.89,18.50865671641791,13409,1,2684.0,2304000,16990000
0,1,0,1,0,0,0,0,0,0,0,0,16.0,512.0,14.9744819419775,60.0,333.93700787401576,50.0,3.0,1.41,32.45,21.44,1.97,24.0,24801,1,2684.0,2073600,17290000
0,1,1,0,0,0,0,0,0,0,0,0,16.0,512.0,14.0,60.0,300.0,58.0,3.0,1.45,31.44,22.19,1.97,24.0,22638,1,2684.0,2304000,15590000
0,1,1,0,0,0,0,0,0,0,0,0,16.0,512.0,15.6,180.0,300.0,57.0,4.0,2.1,36.23,23.99,2.35,24.0,18379,0,14433.0,2304000,24490000
1,0,0,0,0,0,0,1,0,0,0,0,8.0,512.0,15.6,120.0,250.0,41.0,3.0,1.65,35.85,23.56,2.11,12.0,13409,1,2684.0,2073600,15990000
0,1,0,0,0,1,0,0,0,0,0,0,32.0,2048.0,16.0,60.0,400.0,99.9,4.0,1.5,35.84,25.44,1.9,24.0,19542,1,2684.0,9216000,49990000
